Recipe Image,Recipe Name,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Base Value,Effect,Where to Unlock,Used for Festivals
,Tofu Skin,Soy Milk,,,,111G,Max Stamina Up Lv. 1,Clara's Diner,
,Shumai Dumplings,Wheat Flour,Onion,"Bluegill, Willow Shiner, Killifish, Stone Moroko, Pond Smelt, Sweetfish, Eel, Marbled Eel, Goldfish, Crucian Carp",,924G,Rod Durability Up Lv. 2,Reeling in a Meal request from Sonia,
,Sashimi,"Amur Minnow, Dace, Pale Chub, Sculpin, Dark Chub, Bitterling, Tamoroko, Rainbow Trout, Silver Carp, Basa",,,,195G,Rod Durability Up Lv. 1,Available at the start,
,Fish Cake,"Amur Minnow, Dace, Pale Chub, Sculpin, Dark Chub, Bitterling, Tamoroko, Rainbow Trout, Silver Carp, Basa",,,,195G,Rod Durability Up Lv. 1,Bottled Nuts Wanted request from Nadine,
,Babaocai,Napa Cabbage,Carrot,Green Bell Pepper,Mushroom (any),"1,509G",Watering Rare Crop % Lv. 3,"Hydrator title, Nadine's Bistro",
,Grilled Corn,Corn,Soy Sauce,Sugar,,886G,Watering Rare Crop % Lv. 2,Felix’s Fixings (Summer),
,Curry Bun,Wheat Flour,Curry Powder,Onion,Carrot,"1,920G",Chat Friendship Boost Lv. 4,Clara's Diner,
,Cheese Croquettes,Potato,"Breadcrumbs, White Breadcrumbs","Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",Cheese (any),"1,844G",Chat Friendship Boost Lv. 4,Nadine's Bistro,
,Cheese Bun,Wheat Flour,Cheese (any),Buffalo Milk,,"1,320G",Chat Friendship Boost Lv. 3,Mini Madeleine's,
,Cream Croquettes,Potato,"Breadcrumbs, White Breadcrumbs","Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil","Milk, Buffalo Milk","1,098G",Chat Friendship Boost Lv. 3,Nadine's Bistro,
,Stew,Wheat Flour,"Milk, Buffalo Milk","Potato, Asparagus, Carrot, Cabbage, Turnip, Cauliflower",,770G,Chat Friendship Boost Lv. 2,Nadine's Bistro,Hearth Day
,Croquettes,Potato,"Breadcrumbs, White Breadcrumbs","Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,709G,Chat Friendship Boost Lv. 2,Clara's Diner,
,French Toast,"Bread, White Bread","Egg, Silkie Egg","Milk, Buffalo Milk",,647G,Chat Friendship Boost Lv. 2,Nadine's Bistro,
,Popcorn,Corn,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,,508G,Chat Friendship Boost Lv. 2,"Neighborly title, Mini Madeleine's",Pumpkin Festival
,French Fries,Potato,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,,355G,Chat Friendship Boost Lv. 1,Mini Madeleine's,
,Poached Egg,"Egg, Silkie Egg",Soy Sauce,,,301G,Chat Friendship Boost Lv. 1,Café Madeleine,
,Baked Sweet Potato,Sweet Potato,,,,202G,Chat Friendship Boost Lv. 1,Felix’s Fixings (Autumn),
,Bread,Wheat Flour,,,,195G,None,"Café Madeleine, Mini Madeleine's, Nadine's Bistro, Clara's Diner",
,White Bread,Rice Flour,,,,182G,None,Nadine's Bistro,
,Cooked Rice,Rice,,,,91G,None,"Café Madeleine, Mini Madeleine's, Nadine's Bistro, Clara's Diner",
Main Dishes,,,,,,,,,
,Ultimate Curry,Supreme Curry,Giant Tomato,Curled Chili Pepper,Yogurt+,"12,353G",None,Out of the Extra-Ordinary request from Madeleine,
,Fried Rice Noodles,Rice Flour,Monarch Mushroom,Cabbage,Carrot,"7,508G",None,Remarkable Mushrooms request from Nadine,
,Farmer's Breakfast,Potato,Onion,Cheese+,Mayonnaise+,"6,957G",None,Celebrated Cuisine request from Madeleine,
,Supreme Curry,Curry Rice,Star Potato,Three-Forked Carrot,,"3,724G",None,Win the Cook-Off! Festival,
,Pizzoccheri,Buckwheat Flour,Cheese (any),Cabbage,Potato,"2,784G",None,Nadine's Bistro,
,Tempura Soba,Buckwheat Flour,Tempura,,,"2,641G",None,Clara's Diner,Hearth Day
,Milk Hot Pot,Milk+,Carrot,Napa Cabbage,Spinach,"2,640G",None,Mini Madeleine's,Hearth Day
,Macaroni & Cheese,Wheat Flour,Cheese (any),Butter (any),Mayonnaise (any),"2,592G",None,Nadine's Bistro,
,Hot Pot,Daikon Radish,Napa Cabbage,Green Onion,"Nile Perch, Salmon, Masu Trout, Cherry Salmon, Brown Trout, Yellow Perch, Sweetfish","2,487G",None,Clara's Diner,Hearth Day
,Ukha,"Nile Perch, Salmon, Masu Trout, Cherry Salmon, Brown Trout, Yellow Perch, Sweetfish",Carrot,Potato,Onion,"2,324G",None,Nadine's Bistro,Hearth Day
,Mushroom Polenta,Mushroom (any),Corn,Butter (any),Cheese (any),"2,295G",None,Nadine's Bistro,
,Tempura Udon,Wheat Flour,Tempura,,,"2,188G",None,Clara's Diner,Hearth Day
,Marinated Fish,"Nile Perch, Salmon, Masu Trout, Cherry Salmon, Brown Trout, Yellow Perch, Sweetfish",Onion,Vinegar,Lemon,"2,160G",None,Mood Improver request from Mina,
,Tempura Rice Bowl,Tempura,Cooked Rice,,,"2,089G",None,Clara's Diner,
,Raclette Cheese,Cheese (any),Corn,Carrot,Broccoli,"1,901G",None,Nadine's Bistro,
,Pasta Salad,Pasta,Mixed Salad,Mayonnaise (any),,"1,817G",None,A Selfish Request request from Jules,
,Matsutake Rice,Rice,Matsutake Mushroom,Soy Sauce,,"1,760G",None,Clara's Diner,
,Gratin,Wheat Flour,Cheese (any),Mayonnaise (any),,"1,568G",None,Milk Par Excellence request from Nadine,
,Spaghetti Soup,Pasta,Tomato,"Grayling, Bighead Carp, Nile Perch, Barbel Steed, Three-Lips Carp, Brown Trout, Black Bass, Mugitsuku","Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil","1,568G",None,Café Madeleine,Hearth Day
,Risotto,Rice,Cheese (any),Tomato,Onion,"1,552G",None,Café Madeleine,
,Carpaccio,"Yellow Perch, Snakehead, Masu Trout, Char, Salmon, Icefish, Cherry Salmon",Onion,Vinegar,,"1,469G",None,Nadine's Bistro,
,Cheese Fondue,Cheese (any),"Bread, White Bread, Baguettes, Focaccia Bread","Broccoli, Potato, Asparagus, Red Bell Pepper, Carrot, Common Mushroom, Pumpkin",,"1,452G",None,Nadine's Bistro,
,Mushroom Pasta,Pasta,Mushroom (any),Butter (any),,"1,449G",None,Café Madeleine,
,Inari Sushi,Cooked Rice,Fried Tofu,Vinegar,Sugar,"1,437G",None,Clara's Diner,
,Fried Udon,Wheat Flour,Cabbage,Green Bell Pepper,Soy Sauce,"1,437G",None,Clara's Diner,
,Spicy Curry,Cooked Rice,Curry Powder,Spice,"Potato, Carrot, Onion","1,424G",None,Fondue Fancy! request from Sophie,
,Omelet Rice,Omelet,Cooked Rice,,,"1,410G",None,Bookshelves in Gabriel's House,
,Spaghetti Peperoncino,Pasta,Chili Pepper,Garlic,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil","1,410G",None,Nadine's Bistro,
,Seaweed Curry,Cooked Rice,Curry Powder,Seaweed,"Potato, Carrot, Onion","1,388G",None,Clara's Diner,
,Jam-Filled Bun,Wheat Flour,"Apple Jam, Strawberry Jam, Grape Jam, Blueberry Jam",,,"1,339G",None,Café Madeleine,
,Milk Curry,Cooked Rice,Curry Powder,"Milk, Buffalo Milk","Potato, Carrot, Onion","1,334G",None,Nadine's Bistro,
,Burgundy Fondue,Olive Oil,"Bread, White Bread, Baguettes, Focaccia Bread","Broccoli, Potato, Asparagus, Red Bell Pepper, Carrot, Common Mushroom, Pumpkin",,"1,325G",None,Nadine's Bistro,
,Fried Rice,Cooked Rice,"Egg, Silkie Egg",Onion,Carrot,"1,316G",None,Clara's Diner,
,Rainbow Curry,Cooked Rice,Curry Powder,Spinach,Red Bell Pepper,"1,304G",None,Mini Madeleine's,
,Yakisoba,Wheat Flour,Mushroom (any),Cabbage,,"1,271G",None,Clara's Diner,
,Unadon,Cooked Rice,"Eel, Marbled Eel",Soy Sauce,Sugar,"1,262G",None,Clara's Diner,
,Fried Matsutake Mushrooms,Matsutake Mushroom,,,,"1,200G",None,Felix’s Fixings (Autumn),
,Rice Gratin,Rice,Cheese (any),Buffalo Milk,,"1,188G",None,Mini Madeleine's,
,Herb Bread,Wheat Flour,Herb Butter,,,"1,182G",None,Mini Madeleine's,
,Okonomiyaki,Wheat Flour,Cabbage,"Egg, Silkie Egg",,"1,172G",None,Clara's Diner,
,Tempura,Wheat Flour,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil","Egg, Silkie Egg","Shiitake Mushroom, Pumpkin, Eggplant, Sweet Potato, Icefish, Pond Smelt","1,152G",None,Clara's Diner,
,Paella,Cooked Rice,"Grayling, Bighead Carp, Nile Perch, Barbel Steed, Three-Lips Carp, Brown Trout, Black Bass, Mugitsuku",Red Bell Pepper,Spice,"1,151G",None,Mini Madeleine's,
,Boiled Tofu,Tofu,Napa Cabbage,Mushroom (any),,"1,147G",None,High Quality's the Way to Go! request from Derek,Hearth Day
,Pizza,Wheat Flour,Tomato,Cheese (any),,"1,142G",None,"Face of Zephyr Town title, Nadine's Bistro",
,Bok Choy Soy Cream Stew,Bok Choy,Soy Milk,Butter (any),,"1,131G",None,Nadine's Bistro,Hearth Day
,Curry Bread,Wheat Flour,Curry Powder,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,"1,073G",None,Nadine's Bistro,
,Meuniere Fish,"Grayling, Bighead Carp, Nile Perch, Barbel Steed, Three-Lips Carp, Brown Trout, Black Bass, Mugitsuku",Wheat Flour,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,"1,073G",None,Mini Madeleine's,
,Rice & Mixed Vegetables,Rice,Fried Tofu,Carrot,,"1,052G",None,Clara's Diner,
,Pink Fondue,Grape Juice,"Bread, Baguettes, White Bread, Focaccia Bread","Broccoli, Potato, Asparagus, Red Bell Pepper, Carrot, Common Mushroom, Pumpkin",,937G,None,Nadine's Bistro,
,Curry Rice,Cooked Rice,Curry Powder,"Potato, Carrot, Onion",,911G,None,"Clara's Diner, Flex it out! mail from Felix",
,Vegetable Curry,Cooked Rice,Curry Powder,"Cucumber, Onion, Asparagus, Tomato, Red Bell Pepper, Carrot, Turnip, Sweet Potato, Pumpkin, Eggplant",,911G,None,First-Class Curry request from Diana,
,Mushroom Rice,Rice,Mushroom (any),Mushroom (any),Mushroom (any),874G,None,Sharpen Those Skills request from Madeleine,
,Chirashi Sushi,Sashimi,Cooked Rice,Vinegar,"Egg, Silkie Egg",867G,None,Clara's Diner,
,Zaru Soba,Buckwheat Flour,Wheat Flour,,,838G,None,Clara's Diner,
,Dry Curry,Cooked Rice,Curry Powder,Tomato,Soybean,837G,None,Fine Dining request from Erik,
,Bouillabaisse,Tomato,"Grayling, Bighead Carp, Nile Perch, Barbel Steed, Three-Lips Carp, Brown Trout, Black Bass, Mugitsuku","Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,835G,None,Mini Madeleine's,Hearth Day
,Steamed Mushrooms,Mushroom (any),Butter (any),,,809G,None,Heartening Mushrooms request from Clara,
,Tofu Steak,Tofu,"Wheat Flour, Rice Flour","Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,809G,None,Mini Madeleine's,
,Milk Rice Porridge,Rice,Salt,"Milk, Buffalo Milk",,801G,None,Mini Madeleine's,
,Fried Onigiri,Onigiri,Soy Sauce,,,735G,None,Mini Madeleine's,
,Omelet,"Egg, Silkie Egg",Butter (any),,,721G,None,Café Madeleine,
,Donburi Rice Bowl,"Egg, Silkie Egg",Onion,Cooked Rice,,664G,None,Clara's Diner,
,Sushi,Sashimi,Cooked Rice,Vinegar,,657G,None,"Let's get cooking! mail, Clara's Diner",
,Tomato Fondue,Tomato,"Bread, White Bread, Baguettes, Focaccia Bread","Broccoli, Potato, Asparagus, Red Bell Pepper, Carrot, Common Mushroom, Pumpkin",,650G,None,Nadine's Bistro,
,Fruit Sandwich,"Bread, White Bread, Baguettes, Focaccia Bread","Cherry, Blueberry, Green Grapes, Strawberry, Mango, Pineapple, Banana, Peach, Orange, Melon","Cherry, Blueberry, Green Grapes, Strawberry, Mango, Pineapple, Banana, Peach, Orange, Melon",,647G,None,Mini Madeleine's,
,Herb Rice Porridge,Rice,Salt,"Mint, Chamomile, Lavender",,647G,None,"Some Herbs, Please? request from Sophie",
,Udon,Wheat Flour,Fish Cake,Green Onion,,647G,None,Clara's Diner,Hearth Day
,Herb Pasta,Wheat Flour,"Mint, Chamomile, Lavender","Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,616G,None,Bookshelves in Jules' and Derek's House,
,Penne Pasta,Wheat Flour,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",Tomato,,604G,None,Nadine's Bistro,
,Rice Porridge,Rice,Salt,,,544G,None,Café Madeleine,
,Simmered Fish,"Bluegill, Willow Shiner, Killifish, Stone Moroko, Pond Smelt, Sweetfish, Eel, Marbled Eel, Goldfish, Crucian Carp",Soy Sauce,,,451G,None,Clara's Diner,
,Raisin Bread,Wheat Flour,Red Grapes,,,444G,None,Clara's Diner,
,Sandwich,"Bread, White Bread, Baguettes, Focaccia Bread",Tomato,Cucumber,,375G,None,Café Madeleine,
,Onigiri,Cooked Rice,Seaweed,,,370G,None,Café Madeleine,
,Fried Eggplant,Eggplant,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",,,342G,None,Felix’s Fixings (except Winter),
,Chestnut Rice,Cooked Rice,Chestnut,,,329G,None,Clara's Diner,
,Pasta,Wheat Flour,"Egg, Silkie Egg",,,328G,None,Café Madeleine,
,Herb Sandwich,"Bread, White Bread, Baguettes, Focaccia Bread","Mint, Chamomile, Lavender",Mayonnaise (any),,817G,None,Secret Ingredient request from Mina,
,Egg Over Rice,"Egg, Silkie Egg",Cooked Rice,,,248G,None,Available at the start,
,Grilled Fish,"Amur Minnow, Dace, Pale Chub, Sculpin, Dark Chub, Bitterling, Tamoroko, Rainbow Trout, Silver Carp, Basa",,,,195G,None,Available at the start,
Desserts,,,,,,,,,
,Rüeblitorte (Rueblitorte),Wheat Flour,Silkie Egg,Three-Forked Carrot,Lemon,"2,506G",Jump Distance Up,It's Gotta Be PERFECT! request from Sylvia,Hearth Day
,Trifle,Castella,Silkie Egg+,Yogurt+,"Cherry, Blueberry, Green Grapes, Strawberry, Mango, Pineapple, Banana, Peach, Orange, Melon","6,192G",Petting Happiness Up Lv. 4,The Gift of Gratitude request from Samir,Pumpkin Festival
,Pineapple Pie,Wheat Flour,"Egg, Silkie Egg",Butter (any),Jewel Pineapple,"3,130G",Petting Happiness Up Lv. 4,Reward for giving high quality tea for the Tea Party Festival,Pumpkin Festival
,Cheesecake,Wheat Flour,"Egg, Silkie Egg",Buffalo Milk,Cheese (any),"1,602G",Petting Happiness Up Lv. 3,"Dairy Driver title, Nadine's Bistro",Pumpkin Festival
,Steamed Cake,Wheat Flour,"Egg, Silkie Egg","Milk, Buffalo Milk",Pumpkin,"1,422G",Petting Happiness Up Lv. 3,Mini Madeleine's,Pumpkin Festival
,Cherry Pie,Wheat Flour,"Egg, Silkie Egg",Butter (any),Cherry,"1,404G",Petting Happiness Up Lv. 3,Making Something Special! request from Maple,Pumpkin Festival
,Blueberry Pie,Wheat Flour,"Egg, Silkie Egg",Butter (any),Blueberry,"1,377G",Petting Happiness Up Lv. 3,Nadine's Bistro,Pumpkin Festival
,Strawberry Pie,Wheat Flour,"Egg, Silkie Egg",Butter (any),Strawberry,"1,368G",Petting Happiness Up Lv. 3,"Acrobat title, Café Madeleine",Pumpkin Festival
,Donuts,Wheat Flour,"Egg, Silkie Egg",Sugar,"Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil","1,332G",Petting Happiness Up Lv. 3,"Excellent Eggs request from Sylvia, Me and mom baked em! mail from Sylvia",Pumpkin Festival
,Churros,Wheat Flour,"Egg, Silkie Egg","Oil, Nut Oil, Herb Oil, Olive Oil, Grape Oil",Sugar,"1,332G",Petting Happiness Up Lv. 3,"Scene Stealer title, Mini Madeleine's, A rare treat! mail from Maple",Pumpkin Festival
,Chocolate Cake,Wheat Flour,"Egg, Silkie Egg","Milk, Buffalo Milk",Chocolate,"1,242G",Petting Happiness Up Lv. 3,Clara's Diner,Pumpkin Festival
,Baumkuchen,Wheat Flour,"Egg, Silkie Egg","Milk, Buffalo Milk",Sugar,"1,242G",Petting Happiness Up Lv. 3,It's Gotta Be Yummy request from Laurie,Pumpkin Festival
,Engadiner Nusstorte,Wheat Flour,Silkie Egg,Sugar,Walnut,"1,206G",Petting Happiness Up Lv. 3,Nadine's Bistro,Hearth Day
,Pancakes,Wheat Flour,"Egg, Silkie Egg","Milk, Buffalo Milk",Honey (any),"1,152G",Petting Happiness Up Lv. 3,Café Madeleine,Pumpkin Festival
,Fruit Dumplings,Refined Rice Flour,"Cherry, Blueberry, Green Grapes, Strawberry, Mango, Pineapple, Banana, Peach, Orange, Melon","Cherry, Blueberry, Green Grapes, Strawberry, Mango, Pineapple, Banana, Peach, Orange, Melon",,"1,089G",Petting Happiness Up Lv. 3,Mini Madeleine's,Pumpkin Festival
,Sweet Potato Cakes,"Milk, Buffalo Milk",Sugar,Sweet Potato,,932G,Petting Happiness Up Lv. 2,Nadine's Bistro,Pumpkin Festival
,Chocolate Fondue,Chocolate,"Bread, White Bread, Baguettes, Focaccia Bread","Apple, Red Grapes, Green Grapes, Strawberry, Mango, Pineapple, Banana, Peach, Orange, Melon",,924G,Petting Happiness Up Lv. 2,Nadine's Bistro,Pumpkin Festival
,Baked Apple,Apple,Butter (any),,,838G,Petting Happiness Up Lv. 2,Felix’s Fixings (Autumn),Pumpkin Festival
,Ice Cream,"Milk, Buffalo Milk","Egg, Silkie Egg",Sugar,,832G,Petting Happiness Up Lv. 2,Bookshelves in June's House,Pumpkin Festival
,Castella,Wheat Flour,Silkie Egg,Honey (any),,801G,Petting Happiness Up Lv. 2,Clara's Diner,Pumpkin Festival
,Strawberry Mochi,Mochi,Strawberry,,,618G,Petting Happiness Up Lv. 2,"Big Hops title, Clara's Diner, Hip ideas of the youth mail from Madeleine",Pumpkin Festival
,Egg Tart,"Egg, Silkie Egg","Milk, Buffalo Milk",Wheat Flour,,601G,Petting Happiness Up Lv. 2,Milker title,Pumpkin Festival
,Cake,Wheat Flour,"Egg, Silkie Egg","Milk, Buffalo Milk",,601G,Petting Happiness Up Lv. 2,"Cheer Captain title, Nadine's Bistro, Everything changes! mail from Gabriel",Pumpkin Festival
,Dango,Refined Rice Flour,,,,588G,Petting Happiness Up Lv. 2,Café Madeleine,Pumpkin Festival
,Wrapped Rice Cakes,Mochi,Summer Tea Leaves,,,544G,Petting Happiness Up Lv. 2,Clara's Diner,Pumpkin Festival
,Walnut Cookies,Wheat Flour,"Egg, Silkie Egg",Walnut,,524G,Petting Happiness Up Lv. 2,"Ivy's Friend title, Café Madeleine",Pumpkin Festival
,Soy Milk Pudding,"Milk, Buffalo Milk","Egg, Silkie Egg",Soy Milk,,501G,Petting Happiness Up Lv. 2,"Mini Madeleine's, Energies entwined mail from Kagetsu",Pumpkin Festival
,Herb Cookies,Wheat Flour,"Egg, Silkie Egg","Mint, Chamomile, Lavender",,415G,Petting Happiness Up Lv. 1,"Mini Madeleine's, A kind gesture mail from Diana",Pumpkin Festival
,Toasted Mochi,Mochi,,,,390G,Petting Happiness Up Lv. 1,Mini Madeleine's,Pumpkin Festival
,Chestnut Paste,Bottled Chestnuts,,,,390G,Petting Happiness Up Lv. 1,Tempura Temptations request from Nadine,Pumpkin Festival
