id,name,category
146,Porcini Mushroom,Forageables
147,Potato,Vegetables
148,Pu'er Tea Tin,Others
149,Pumpkin,Vegetables
150,Radish,Vegetables
151,Rainbow Trout,Fish
152,Red Bell Pepper,Vegetables
153,Red Grape Tea Tin,Others
154,Red Grapes,Fruits
155,Refined Rice Flour,Others
156,Rice,Vegetables
157,Rice Flour,Others
158,Royal Honey,Forageables
159,Salmon,Fish
160,Salt,Others
161,Sashimi,Recipes
162,Sculpin,Fish
163,Seaweed,Others
164,Sencha Tea Tin,Others
165,Shiitake Mushroom,Forageables
166,Shimeji Mushroom,Forageables
167,Silkie Egg,Products
168,Silkie Egg+,Products
169,Silver Carp,Fish
170,Snakehead,Fish
171,Soy Milk,Recipes
172,Soy Sauce,Others
173,Soybean,Vegetables
174,Spice,Others
175,Spinach,Vegetables
176,Spring Blend Tea Tin,Others
177,Spring Juice,Recipes
178,Star Potato,Vegetables
179,Stone Moroko,Fish
180,Strawberry,Fruits
181,Strawberry Jam,Recipes
182,Strawberry Juice,Recipes
183,Strawberry Tea Tin,Others
184,Sugar,Others
185,Summer Blend Tea Tin,Others
186,Summer Juice,Recipes
187,Summer Tea Leaves,Others
188,Supreme Curry,Recipes
189,Sweet Potato,Vegetables
190,Sweetfish,Fish
191,Tamoroko,Fish
192,Tempura,Recipes
193,Three-Forked Carrot,Vegetables
194,Three-Lips Carp,Fish
195,Tofu,Recipes
196,Tomato,Vegetables
197,Turnip,Vegetables
198,Urchin,Others
199,Vinegar,Others
200,Walnut,Forageables
201,Watermelon,Fruits
202,Watermelon Tea Tin,Others
203,Wheat Flour,Others
204,White Bread,Recipes
205,White Breadcrumbs,Others
206,Willow Shiner,Fish
207,Yellow Perch,Fish
208,Yogurt+,Products
